implementation	mode	scenario	repetition	command
candidate	cpu0	graphs	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-graphs-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-graphs-1/config/config.toml
candidate	cpu0	graphs	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-graphs-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-graphs-2/config/config.toml
candidate	cpu0	graphs	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-graphs-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-graphs-3/config/config.toml
candidate	cpu0	processes	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-processes-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-processes-1/config/config.toml
candidate	cpu0	processes	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-processes-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-processes-2/config/config.toml
candidate	cpu0	processes	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-processes-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-processes-3/config/config.toml
candidate	cpu0	unavailable-service	1	strace -f -qq -ttt -e trace=process,connect -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-unavailable-service-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-unavailable-service-1/config/config.toml
candidate	cpu0	unavailable-service	2	strace -f -qq -ttt -e trace=process,connect -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-unavailable-service-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-unavailable-service-2/config/config.toml
candidate	cpu0	unavailable-service	3	strace -f -qq -ttt -e trace=process,connect -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-unavailable-service-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-unavailable-service-3/config/config.toml
candidate	cpu0	timeout	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-timeout-1.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-timeout-1/config/config.toml
candidate	cpu0	timeout	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-timeout-2.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-timeout-2/config/config.toml
candidate	cpu0	timeout	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/candidate-cpu0-timeout-3.process.strace /usr/bin/time -v taskset -c 0 /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/candidate-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/candidate-cpu0-timeout-3/config/config.toml
